type	id	dependencies	description	source	url	portal_url	downloaded_name	downloaded_size	downloaded_md5	processed_size	processed_md5
reference			hg19 FASTA	broad_reference	https://data.broadinstitute.org/snowman/hg19/genomestrip/Homo_sapiens_assembly19.fasta		Homo_sapiens_assembly19.fasta	3140756381	886ba1559393f75872c1cf459eb57f2d		
reference			hg19 FASTA index	broad_reference	https://data.broadinstitute.org/snowman/hg19/genomestrip/Homo_sapiens_assembly19.fasta.fai		Homo_sapiens_assembly19.fasta.fai	2780	fdc0ab679f6461d78980de2a2e97e8f3		
reference			hg19 FASTA dictionary	broad_reference	https://data.broadinstitute.org/snowman/hg19/genomestrip/Homo_sapiens_assembly19.dict		Homo_sapiens_assembly19.dict	13525	d076c0bff3b1c2e0c14bcc10c011e7c4		
reference			hg19 chromosome sizes	ucsc_reference	https://hgdownload.cse.ucsc.edu/goldenPath/hg19/bigZips/hg19.chrom.sizes		hg19.chrom.sizes	1971	b3b0fcf79b5477ab0b3af02e81eac8dc		
primary_dataset	g19_7_definitions		GENCODE v19 genes	broad_reference	https://data.broadinstitute.org/ccle/gencode.v19.genes.v7_model.patched_contigs.gtf.gz		gencode.v19.genes.v7_model.patched_contigs.gtf.gz	7509840	826fcf538472db7cb20cd4d45c5c2bde		
primary_dataset	ensembl_75_definitions		ENSEMBL GRCh37 release 75	ensembl_reference	http://ftp.ensembl.org/pub/release-75/gtf/homo_sapiens/Homo_sapiens.GRCh37.75.gtf.gz		Homo_sapiens.GRCh37.75.gtf.gz	39344043	6e27c4907b260c726f99ea06616b9c4c		
primary_dataset	gtex_2919_manifest		GTEx samples manifest	gtex	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2919/E-MTAB-2919.sdrf.txt	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2919/	E-MTAB-2919.sdrf.txt	2423256	81284db547f0a07e1cafdc1123cf08d7		
primary_dataset	gtex_5214_manifest		GTEx samples manifest	gtex	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5214/E-MTAB-5214.sdrf.txt	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5214/	E-MTAB-5214.sdrf.txt	15348705	533fdbb33bd8dbe75adfb626a717bc72		
secondary_dataset	gtex_manifest	"gtex_2919_manifest,gtex_5214_manifest"	GTEx combined samples manifest (from 2919 and 5214)								
primary_dataset	gtex_gene_tpm		TPM expression levels of genes across GTEx samples	gtex	https://storage.googleapis.com/gtex_analysis_v8/rna_seq_data/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm.gct.gz	https://gtexportal.org/home/datasets	GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm.gct.gz	1625807147	ff6aade0ef5b55e38af9fef98bad760b		
